lat,lon,esi
36.2,93.7,0.04049066362891219
36.2,93.85000000000001,0.27177114990377915
36.2,94.00000000000001,0.04445145890057447
36.2,94.15000000000002,0.04445145890057447
36.2,94.30000000000003,0.04445145890057447
36.2,94.45000000000003,0.04445145890057447
36.2,94.60000000000004,0.04981740235173317
36.2,94.75000000000004,0.04981740235173317
36.2,94.90000000000005,0.04981740235173317
36.2,95.05000000000005,0.051736174015488544
36.2,95.20000000000006,0.051736174015488544
36.2,95.35000000000007,0.051736174015488544
36.2,95.50000000000007,0.05479412744649959
36.2,95.65000000000008,0.05479412744649959
36.2,95.80000000000008,0.05479412744649959
36.2,95.95000000000009,0.05479412744649959
36.2,96.1000000000001,0.05625260166844901
36.2,96.2500000000001,0.05625260166844901
36.2,96.4000000000001,0.05625260166844901
36.2,96.55000000000011,0.06324014674278777
36.2,96.70000000000012,0.06324014674278777
36.2,96.85000000000012,0.06324014674278777
36.2,97.00000000000013,0.07453243525662945
36.2,97.15000000000013,0.07453243525662945
36.2,97.30000000000014,0.3058129215314964
36.2,97.45000000000014,0.3058129215314964
36.2,97.60000000000015,0.08019590945844816
36.2,97.75000000000016,0.08019590945844816
36.2,97.90000000000016,0.31147639573331515
36.2,98.05000000000017,0.30540842599866835
36.2,98.20000000000017,0.30540842599866835
36.2,98.35000000000018,0.30540842599866835
36.2,98.50000000000018,0.2994264066417127
36.2,98.65000000000019,0.06814592036684577
36.2,98.8000000000002,0.06814592036684577
36.2,98.9500000000002,0.2994264066417127
36.2,99.10000000000021,0.30716852676036677
36.2,99.25000000000021,0.30716852676036677
36.2,99.40000000000022,0.30716852676036677
36.2,99.55000000000022,0.31979060577063995
36.2,99.70000000000023,0.31979060577063995
36.2,99.85000000000024,0.31979060577063995
36.2,100.00000000000024,0.32727531463410453
36.2,100.15000000000025,0.32727531463410453
36.2,100.30000000000025,0.09599482835923753
36.2,100.45000000000026,0.09599482835923753
36.2,100.60000000000026,0.33194843962158965
36.2,100.75000000000027,0.33194843962158965
36.2,100.90000000000028,0.33194843962158965
36.2,101.05000000000028,0.33600618484343303
36.2,101.20000000000029,0.33600618484343303
36.2,101.35000000000029,0.33600618484343303
36.2,101.5000000000003,0.3431933082719365
36.2,101.6500000000003,0.3431933082719365
36.2,101.80000000000031,0.3431933082719365
36.2,101.95000000000032,0.3431933082719365
36.2,102.10000000000032,0.11434981739586643
36.2,102.25000000000033,0.3456303036707334
36.2,102.40000000000033,0.3456303036707334
36.2,102.55000000000034,0.5578494276422085
36.2,102.70000000000034,0.11753256154731931
36.2,102.85000000000035,0.34881304782218625
36.2,103.00000000000036,0.35060706604329595
36.2,103.15000000000036,0.11932657976842899
36.2,103.30000000000037,0.35060706604329595
36.2,103.45000000000037,0.35060706604329595
36.35,93.7,0.04049066362891219
36.35,93.85000000000001,0.04049066362891219
36.35,94.00000000000001,0.04445145890057447
36.35,94.15000000000002,0.04445145890057447
36.35,94.30000000000003,0.04445145890057447
36.35,94.45000000000003,0.04445145890057447
36.35,94.60000000000004,0.04981740235173317
36.35,94.75000000000004,0.04981740235173317
36.35,94.90000000000005,0.04981740235173317
36.35,95.05000000000005,0.051736174015488544
36.35,95.20000000000006,0.051736174015488544
36.35,95.35000000000007,0.051736174015488544
36.35,95.50000000000007,0.05479412744649959
36.35,95.65000000000008,0.05479412744649959
36.35,95.80000000000008,0.05479412744649959
36.35,95.95000000000009,0.05479412744649959
36.35,96.1000000000001,0.05625260166844901
36.35,96.2500000000001,0.05625260166844901
36.35,96.4000000000001,0.05625260166844901
36.35,96.55000000000011,0.06324014674278777
36.35,96.70000000000012,0.06324014674278777
36.35,96.85000000000012,0.06324014674278777
36.35,97.00000000000013,0.3058129215314964
36.35,97.15000000000013,0.3058129215314964
36.35,97.30000000000014,0.3058129215314964
36.35,97.45000000000014,0.3058129215314964
36.35,97.60000000000015,0.31147639573331515
36.35,97.75000000000016,0.08019590945844816
36.35,97.90000000000016,0.08019590945844816
36.35,98.05000000000017,0.07412793972380138
36.35,98.20000000000017,0.30540842599866835
36.35,98.35000000000018,0.30540842599866835
36.35,98.50000000000018,0.06814592036684577
36.35,98.65000000000019,0.2994264066417127
36.35,98.8000000000002,0.2994264066417127
36.35,98.9500000000002,0.06814592036684577
36.35,99.10000000000021,0.30716852676036677
36.35,99.25000000000021,0.30716852676036677
36.35,99.40000000000022,0.30716852676036677
36.35,99.55000000000022,0.31979060577063995
36.35,99.70000000000023,0.31979060577063995
36.35,99.85000000000024,0.31979060577063995
36.35,100.00000000000024,0.32727531463410453
36.35,100.15000000000025,0.32727531463410453
36.35,100.30000000000025,0.32727531463410453
36.35,100.45000000000026,0.32727531463410453
36.35,100.60000000000026,0.33194843962158965
36.35,100.75000000000027,0.33194843962158965
36.35,100.90000000000028,0.33194843962158965
36.35,101.05000000000028,0.33600618484343303
36.35,101.20000000000029,0.33600618484343303
36.35,101.35000000000029,0.33600618484343303
36.35,101.5000000000003,0.3431933082719365
36.35,101.6500000000003,0.3431933082719365
36.35,101.80000000000031,0.3431933082719365
36.35,101.95000000000032,0.3431933082719365
36.35,102.10000000000032,0.3456303036707334
36.35,102.25000000000033,0.3456303036707334
36.35,102.40000000000033,0.3456303036707334
36.35,102.55000000000034,0.34881304782218625
36.35,102.70000000000034,0.34881304782218625
36.35,102.85000000000035,0.34881304782218625
36.35,103.00000000000036,0.35060706604329595
36.35,103.15000000000036,0.35060706604329595
36.35,103.30000000000037,0.35060706604329595
36.35,103.45000000000037,0.35060706604329595
36.5,93.7,0.04508668576849023
36.5,93.85000000000001,0.04508668576849023
36.5,94.00000000000001,0.04961936242254046
