unit,year,precip_mm,temp_c
区域(祁连山盒),2005,228.0444793701172,1.288888692855835
区域(祁连山盒),2006,208.90554809570312,1.9754632711410522
区域(祁连山盒),2007,283.0539855957031,1.689616322517395
区域(祁连山盒),2008,217.5047607421875,1.0512566566467285
区域(祁连山盒),2009,229.974609375,1.7394181489944458
区域(祁连山盒),2010,245.57301330566406,1.69609797000885
区域(祁连山盒),2011,198.49285888671875,1.46746027469635
区域(祁连山盒),2012,262.2706604003906,0.8072090744972229
区域(祁连山盒),2013,197.18093872070312,1.7606481313705444
区域(祁连山盒),2014,229.78334045410156,1.2675265073776245
区域(祁连山盒),2015,208.96743774414062,1.554894208908081
区域(祁连山盒),2016,227.3206329345703,1.749404788017273
区域(祁连山盒),2017,252.2864990234375,1.9222882986068726
区域(祁连山盒),2018,283.4587097167969,1.2285712957382202
区域(祁连山盒),2019,284.3912353515625,1.461111307144165
区域(祁连山盒),2020,169.51271057128906,1.4011904001235962
区域(祁连山盒),2021,222.81192016601562,1.6878968477249146
区域(祁连山盒),2022,191.68019104003906,1.7562830448150635
区域(祁连山盒),2023,166.86984252929688,1.9166005849838257
天祝,2005,420.199951171875,0.8416669368743896
天祝,2006,387.4000244140625,1.5166665315628052
天祝,2007,515.0000610351562,1.1166666746139526
天祝,2008,415.9000244140625,0.5083332657814026
天祝,2009,378.0,1.1749999523162842
天祝,2010,401.0,1.2916665077209473
天祝,2011,423.9000244140625,1.0749999284744263
天祝,2012,483.3000183105469,0.36666688323020935
天祝,2013,369.3999938964844,1.1749998331069946
天祝,2014,455.3999938964844,0.8750001788139343
天祝,2015,387.70001220703125,0.900000274181366
天祝,2016,406.20001220703125,1.2583332061767578
天祝,2017,477.8000183105469,1.3583335876464844
天祝,2018,561.5000610351562,0.9583332538604736
天祝,2019,497.3000183105469,0.8666667342185974
天祝,2020,402.00006103515625,0.9500001072883606
天祝,2021,424.0,1.0500001907348633
天祝,2022,522.6000366210938,1.1583333015441895
