unit,forest_pct,grass_pct,water_pct,barren_pct,crop_pct
天祝,12.015091200491888,70.96910553668025,0.0011302576761450076,0.08341301649950156,15.684359720329041
肃南,17.29193853637873,80.48778265909645,0.0013664655684838382,0.23822049743901577,1.6912288852601636
肃北,0.2860887354558241,57.37620326227921,0.4308455257822346,41.00567154364623,0.0
阿克塞,0.005433601391001956,41.6109722524089,0.0,58.382914946026226,0.0006792001738752445
民乐,0.11988525593341022,42.956684342348616,0.16015032291673775,0.8100785510035556,55.94614945391925
山丹,0.0,61.70522747056398,0.18990241444083017,13.33921290145233,24.56246850231365
门源,6.210862187545804,54.48118791787402,0.11861138985038278,0.5551734635202327,37.01712649250786
祁连,13.106392616499631,73.33174791914388,0.026272577996715927,5.054300435988902,6.468716380725893
刚察,0.0040360192293893956,97.51134569850039,0.04596577455693478,0.31817284925019734,2.1195827653009975
德令哈,0.0,56.09449085070232,0.4736996610712284,38.09635006627347,5.335459421952977
天峻,0.004239888423988842,97.05149232914923,0.0020083682008368202,2.9369037656903765,0.0
