unit,esi_2020
肃南,0.46616203586085775
天祝,0.3950816994060027
祁连,0.3903048092776641
德令哈,0.3656508960109681
肃北,0.3438472852291192
门源,0.3062249465820206
刚察,0.2887328207088326
山丹,0.25991545622391565
天峻,0.25080342546643525
民乐,0.16585496089928214
阿克塞,0.07406172156023644
