lat,lon,temp,precip,grass,forest,barren,water,class
36.2,93.7,-1.4258769750595093,157.84210205078125,0,0,1,0,7
36.2,93.85000000000001,-1.4258769750595093,157.84210205078125,1,0,0,0,4
36.2,94.00000000000001,0.4236842095851898,132.4368438720703,0,0,1,0,7
36.2,94.15000000000002,0.4236842095851898,132.4368438720703,0,0,1,0,7
36.2,94.30000000000003,0.4236842095851898,132.4368438720703,0,0,1,0,7
36.2,94.45000000000003,0.4236842095851898,132.4368438720703,0,0,1,0,7
36.2,94.60000000000004,3.103070020675659,93.4000015258789,0,0,1,0,7
36.2,94.75000000000004,3.103070020675659,93.4000015258789,0,0,1,0,7
36.2,94.90000000000005,3.103070020675659,93.4000015258789,0,0,1,0,7
36.2,95.05000000000005,1.868421196937561,137.75790405273438,0,0,1,0,7
36.2,95.20000000000006,1.868421196937561,137.75790405273438,0,0,1,0,7
36.2,95.35000000000007,1.868421196937561,137.75790405273438,0,0,1,0,7
36.2,95.50000000000007,2.2008774280548096,147.27894592285156,0,0,1,0,7
36.2,95.65000000000008,2.2008774280548096,147.27894592285156,0,0,1,0,7
36.2,95.80000000000008,2.2008774280548096,147.27894592285156,0,0,1,0,7
36.2,95.95000000000009,2.2008774280548096,147.27894592285156,0,0,1,0,7
36.2,96.1000000000001,2.0184214115142822,160.8894500732422,0,0,1,0,7
36.2,96.2500000000001,2.0184214115142822,160.8894500732422,0,0,1,0,7
36.2,96.4000000000001,2.0184214115142822,160.8894500732422,0,0,1,0,7
36.2,96.55000000000011,3.499561071395874,163.4578857421875,0,0,1,0,7
36.2,96.70000000000012,3.499561071395874,163.4578857421875,0,0,1,0,7
36.2,96.85000000000012,3.499561071395874,163.4578857421875,0,0,1,0,7
36.2,97.00000000000013,5.456140518188477,179.2315673828125,0,0,1,0,7
36.2,97.15000000000013,5.456140518188477,179.2315673828125,0,0,1,0,7
36.2,97.30000000000014,5.456140518188477,179.2315673828125,1,0,0,0,4
36.2,97.45000000000014,5.456140518188477,179.2315673828125,1,0,0,0,4
36.2,97.60000000000015,5.3662285804748535,215.63157653808594,0,0,1,0,7
36.2,97.75000000000016,5.3662285804748535,215.63157653808594,0,0,1,0,7
36.2,97.90000000000016,5.3662285804748535,215.63157653808594,1,0,0,0,4
36.2,98.05000000000017,1.8412282466888428,272.942138671875,1,0,0,0,4
36.2,98.20000000000017,1.8412282466888428,272.942138671875,1,0,0,0,4
36.2,98.35000000000018,1.8412282466888428,272.942138671875,1,0,0,0,4
36.2,98.50000000000018,-2.7543864250183105,359.2420959472656,1,0,0,0,4
36.2,98.65000000000019,-2.7543864250183105,359.2420959472656,0,0,1,0,7
36.2,98.8000000000002,-2.7543864250183105,359.2420959472656,0,0,1,0,7
36.2,98.9500000000002,-2.7543864250183105,359.2420959472656,1,0,0,0,4
36.2,99.10000000000021,-1.5127193927764893,372.7105407714844,1,0,0,0,4
36.2,99.25000000000021,-1.5127193927764893,372.7105407714844,1,0,0,0,4
36.2,99.40000000000022,-1.5127193927764893,372.7105407714844,1,0,0,0,4
36.2,99.55000000000022,1.64078950881958,364.6368713378906,1,0,0,0,4
36.2,99.70000000000023,1.64078950881958,364.6368713378906,1,0,0,0,4
36.2,99.85000000000024,1.64078950881958,364.6368713378906,1,0,0,0,4
36.2,100.00000000000024,2.653947353363037,382.6368408203125,1,0,0,0,4
36.2,100.15000000000025,2.653947353363037,382.6368408203125,1,0,0,0,4
36.2,100.30000000000025,2.653947353363037,382.6368408203125,0,0,1,0,7
36.2,100.45000000000026,2.653947353363037,382.6368408203125,0,0,1,0,7
36.2,100.60000000000026,2.7223682403564453,408.87896728515625,1,0,0,0,4
36.2,100.75000000000027,2.7223682403564453,408.87896728515625,1,0,0,0,4
36.2,100.90000000000028,2.7223682403564453,408.87896728515625,1,0,0,0,4
36.2,101.05000000000028,1.5048246383666992,465.6263427734375,1,0,0,0,4
36.2,101.20000000000029,1.5048246383666992,465.6263427734375,1,0,0,0,4
36.2,101.35000000000029,1.5048246383666992,465.6263427734375,1,0,0,0,4
36.2,101.5000000000003,3.6627197265625,451.3947448730469,1,0,0,0,4
36.2,101.6500000000003,3.6627197265625,451.3947448730469,1,0,0,0,4
36.2,101.80000000000031,3.6627197265625,451.3947448730469,1,0,0,0,4
36.2,101.95000000000032,3.6627197265625,451.3947448730469,1,0,0,0,4
36.2,102.10000000000032,3.5885965824127197,468.00006103515625,0,0,0,0,1
36.2,102.25000000000033,3.5885965824127197,468.00006103515625,1,0,0,0,4
36.2,102.40000000000033,3.5885965824127197,468.00006103515625,1,0,0,0,4
36.2,102.55000000000034,5.9478068351745605,424.368408203125,0,1,0,0,2
36.2,102.70000000000034,5.9478068351745605,424.368408203125,0,0,0,0,1
36.2,102.85000000000035,5.9478068351745605,424.368408203125,1,0,0,0,4
36.2,103.00000000000036,7.792983055114746,386.06842041015625,1,0,0,0,4
36.2,103.15000000000036,7.792983055114746,386.06842041015625,0,0,0,0,1
36.2,103.30000000000037,7.792983055114746,386.06842041015625,1,0,0,0,4
36.2,103.45000000000037,7.792983055114746,386.06842041015625,1,0,0,0,4
36.35,93.7,-1.4258769750595093,157.84210205078125,0,0,1,0,7
36.35,93.85000000000001,-1.4258769750595093,157.84210205078125,0,0,1,0,7
36.35,94.00000000000001,0.4236842095851898,132.4368438720703,0,0,1,0,7
36.35,94.15000000000002,0.4236842095851898,132.4368438720703,0,0,1,0,7
36.35,94.30000000000003,0.4236842095851898,132.4368438720703,0,0,1,0,7
36.35,94.45000000000003,0.4236842095851898,132.4368438720703,0,0,1,0,7
